Region,MedalCount,Gold,Silver,Bronze
United States of America,5637,2638,1641,1358
Russia,3947,1599,1170,1178
Germany,3756,1301,1195,1260
United Kingdom,2068,678,739,651
France,1777,501,610,666
Italy,1637,575,531,531
Sweden,1536,479,522,535
Canada,1352,463,438,451
Australia,1349,368,459,522
Hungary,1135,432,332,371
Netherlands,1040,287,340,413
Norway,1033,378,361,294
China,993,351,349,293
Japan,913,247,309,357
Finland,900,198,270,432
Switzerland,691,175,248,268
Romania,653,161,200,292
Czech Republic,644,123,262,259
South Korea,638,221,232,185
Denmark,597,179,241,177
Poland,565,117,195,253
Serbia,539,157,222,160
Spain,489,110,243,136
Brazil,475,109,175,191
Belgium,468,98,197,173
Austria,450,108,186,156
Cuba,409,164,129,116
Bulgaria,342,54,144,144
Argentina,274,91,92,91
Greece,255,62,109,84
New Zealand,228,90,56,82
Ukraine,199,47,52,100
India,197,138,19,40
Jamaica,157,38,75,44
Croatia,149,58,54,37
Belarus,139,24,44,71
South Africa,131,32,47,52
Pakistan,121,42,45,34
Mexico,110,30,26,54
Kenya,106,34,41,31
Nigeria,99,23,30,46
Turkey,95,40,27,28
Kazakhstan,77,20,25,32
Iran,68,18,21,29
North Korea,67,16,16,35
Uruguay,63,31,2,30
Lithuania,61,6,7,48
Ethiopia,53,22,9,22
Estonia,50,13,12,25
Taiwan,49,3,28,18
Slovenia,48,8,13,27
Slovakia,47,15,19,13
Azerbaijan,44,7,12,25
Indonesia,41,11,17,13
Portugal,41,4,11,26
Bahamas,40,14,11,15
Trinidad,37,7,8,22
Ireland,35,9,13,13
Latvia,35,3,19,13
Uzbekistan,34,10,7,17
Georgia,32,8,6,18
Chile,32,3,9,20
Thailand,30,9,8,13
Colombia,28,5,9,14
Egypt,27,7,8,12
Mongolia,26,2,10,14
Morocco,23,6,5,12
Ghana,23,0,1,22
Zimbabwe,22,17,4,1
Cameroon,22,20,1,1
Algeria,17,5,4,8
Iceland,17,0,15,2
Paraguay,17,0,17,0
Malaysia,16,0,11,5
Armenia,16,2,5,9
Peru,15,1,14,0
Venezuela,15,2,3,10
Montenegro,14,0,14,0
Fiji,13,13,0,0
Tunisia,13,3,3,7
Philippines,10,0,3,7
Israel,9,1,1,7
Liechtenstein,9,2,2,5
Puerto Rico,9,1,2,6
Moldova,8,0,3,5
Luxembourg,8,4,4,0
Dominican Republic,7,3,2,2
Haiti,7,1,1,5
Uganda,7,2,3,2
Saudi Arabia,6,0,1,5
Syria,5,1,2,2
Qatar,5,0,1,4
Individual Olympic Athletes,5,1,1,3
Namibia,4,0,4,0
Lebanon,4,0,2,2
Tajikistan,4,1,1,2
Costa Rica,4,1,1,2
Vietnam,4,1,3,0
Kyrgyzstan,3,0,1,2
Bahrain,3,1,1,1
Ivory Coast,3,1,1,1
Panama,3,1,0,2
United Arab Emirates,2,1,0,1
Mozambique,2,1,0,1
Suriname,2,1,0,1
Niger,2,0,1,1
Sri Lanka,2,0,2,0
Tanzania,2,0,2,0
Zambia,2,0,1,1
Afghanistan,2,0,0,2
Kuwait,2,0,0,2
Grenada,2,1,1,0
Burundi,2,1,1,0
Ecuador,2,1,1,0
Cyprus,1,0,1,0
Botswana,1,0,1,0
Guatemala,1,0,1,0
Togo,1,0,0,1
Tonga,1,0,1,0
Guyana,1,0,0,1
Iraq,1,0,0,1
Jordan,1,1,0,0
Bermuda,1,0,0,1
Kosovo,1,1,0,0
Eritrea,1,0,0,1
Nepal,1,1,0,0
Barbados,1,0,0,1
Macedonia,1,0,0,1
Curacao,1,0,1,0
"Virgin Islands, US",1,0,1,0
Mauritius,1,0,0,1
Djibouti,1,0,0,1
Senegal,1,0,1,0
Gabon,1,0,1,0
Monaco,1,0,0,1
Sudan,1,0,1,0
Cayman Islands,0,0,0,0
Central African Republic,0,0,0,0
South Sudan,0,0,0,0
Cambodia,0,0,0,0
Comoros,0,0,0,0
Swaziland,0,0,0,0
Cook Islands,0,0,0,0
Chad,0,0,0,0
Somalia,0,0,0,0
Burkina Faso,0,0,0,0
Cape Verde,0,0,0,0
Malawi,0,0,0,0
Brunei,0,0,0,0
Timor-Leste,0,0,0,0
American Samoa,0,0,0,0
Yemen,0,0,0,0
"Virgin Islands, British",0,0,0,0
Andorra,0,0,0,0
Angola,0,0,0,0
Vanuatu,0,0,0,0
Antigua,0,0,0,0
Aruba,0,0,0,0
Bangladesh,0,0,0,0
Belize,0,0,0,0
Benin,0,0,0,0
Turkmenistan,0,0,0,0
Bhutan,0,0,0,0
Boliva,0,0,0,0
Solomon Islands,0,0,0,0
Bosnia and Herzegovina,0,0,0,0
San Marino,0,0,0,0
Democratic Republic of the Congo,0,0,0,0
Lesotho,0,0,0,0
Oman,0,0,0,0
Honduras,0,0,0,0
Nicaragua,0,0,0,0
Kiribati,0,0,0,0
Nauru,0,0,0,0
Myanmar,0,0,0,0
Laos,0,0,0,0
Albania,0,0,0,0
Sierra Leone,0,0,0,0
Libya,0,0,0,0
Micronesia,0,0,0,0
Madagascar,0,0,0,0
Mauritania,0,0,0,0
Marshall Islands,0,0,0,0
Malta,0,0,0,0
Mali,0,0,0,0
Guinea-Bissau,0,0,0,0
Palau,0,0,0,0
Palestine,0,0,0,0
Guinea,0,0,0,0
Seychelles,0,0,0,0
Dominica,0,0,0,0
Sao Tome and Principe,0,0,0,0
Maldives,0,0,0,0
Samoa,0,0,0,0
Saint Vincent,0,0,0,0
Saint Lucia,0,0,0,0
Saint Kitts,0,0,0,0
Rwanda,0,0,0,0
El Salvador,0,0,0,0
Republic of Congo,0,0,0,0
Equatorial Guinea,0,0,0,0
Gambia,0,0,0,0
Guam,0,0,0,0
Papua New Guinea,0,0,0,0
Liberia,0,0,0,0
